2026-06-30 12:24:05 [INFO] poller: leitfaehigkeit: 0.2355
2026-06-30 12:24:15 [INFO] poller: temperatur_medium: 25.3256
2026-06-30 12:24:15 [INFO] poller: leitfaehigkeit: 0.2355
2026-06-30 12:24:25 [INFO] poller: temperatur_medium: 25.3137
2026-06-30 12:24:25 [INFO] poller: leitfaehigkeit: 0.2355
2026-06-30 12:24:36 [INFO] poller: temperatur_medium: 25.3139
2026-06-30 12:24:36 [INFO] poller: leitfaehigkeit: 0.2355
2026-06-30 12:24:46 [INFO] poller: temperatur_medium: 25.3125
2026-06-30 12:24:46 [INFO] poller: leitfaehigkeit: 0.2355
2026-06-30 12:24:56 [INFO] poller: temperatur_medium: 25.3116
2026-06-30 12:24:56 [INFO] poller: leitfaehigkeit: 0.2354
2026-06-30 12:25:06 [INFO] poller: temperatur_medium: 25.3077
2026-06-30 12:25:06 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:25:16 [INFO] poller: temperatur_medium: 25.3117
2026-06-30 12:25:17 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:25:27 [INFO] poller: temperatur_medium: 25.3118
2026-06-30 12:25:27 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:25:37 [INFO] poller: temperatur_medium: 25.3078
2026-06-30 12:25:37 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:25:47 [INFO] poller: temperatur_medium: 25.3095
2026-06-30 12:25:47 [INFO] poller: leitfaehigkeit: 0.2351
2026-06-30 12:25:57 [INFO] poller: temperatur_medium: 25.3031
2026-06-30 12:25:57 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:26:07 [INFO] poller: temperatur_medium: 25.3107
2026-06-30 12:26:07 [INFO] poller: leitfaehigkeit: 0.2351
2026-06-30 12:26:18 [INFO] poller: temperatur_medium: 25.3075
2026-06-30 12:26:18 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:26:28 [INFO] poller: temperatur_medium: 25.3037
2026-06-30 12:26:28 [INFO] poller: leitfaehigkeit: 0.2351
2026-06-30 12:26:38 [INFO] poller: temperatur_medium: 25.3002
2026-06-30 12:26:38 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:26:48 [INFO] poller: temperatur_medium: 25.3031
2026-06-30 12:26:48 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:26:58 [INFO] poller: temperatur_medium: 25.3056
2026-06-30 12:26:59 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:27:09 [INFO] poller: temperatur_medium: 25.3043
2026-06-30 12:27:09 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:27:19 [INFO] poller: temperatur_medium: 25.3015
2026-06-30 12:27:19 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:27:29 [INFO] poller: temperatur_medium: 25.3087
2026-06-30 12:27:29 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:27:39 [INFO] poller: temperatur_medium: 25.3050
2026-06-30 12:27:39 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:27:49 [INFO] poller: temperatur_medium: 25.3062
2026-06-30 12:27:50 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:28:00 [INFO] poller: temperatur_medium: 25.3074
2026-06-30 12:28:00 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:28:10 [INFO] poller: temperatur_medium: 25.3018
2026-06-30 12:28:10 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:28:20 [INFO] poller: temperatur_medium: 25.3044
2026-06-30 12:28:20 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:28:30 [INFO] poller: temperatur_medium: 25.3030
2026-06-30 12:28:30 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:28:40 [INFO] poller: temperatur_medium: 25.3010
2026-06-30 12:28:41 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:28:51 [INFO] poller: temperatur_medium: 25.2986
2026-06-30 12:28:51 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:29:01 [INFO] poller: temperatur_medium: 25.3024
2026-06-30 12:29:01 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:29:11 [INFO] poller: temperatur_medium: 25.3003
2026-06-30 12:29:11 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:29:21 [INFO] poller: temperatur_medium: 25.3014
2026-06-30 12:29:21 [INFO] poller: leitfaehigkeit: 0.2354
2026-06-30 12:29:31 [INFO] poller: temperatur_medium: 25.2998
2026-06-30 12:29:32 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:29:42 [INFO] poller: temperatur_medium: 25.3015
2026-06-30 12:29:42 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:29:52 [INFO] poller: temperatur_medium: 25.3043
2026-06-30 12:29:52 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:30:02 [INFO] poller: temperatur_medium: 25.2987
2026-06-30 12:30:02 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:30:12 [INFO] poller: temperatur_medium: 25.3057
2026-06-30 12:30:12 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:30:22 [INFO] poller: temperatur_medium: 25.3017
2026-06-30 12:30:23 [INFO] poller: leitfaehigkeit: 0.2353
2026-06-30 12:30:33 [INFO] poller: temperatur_medium: 25.2993
2026-06-30 12:30:33 [INFO] poller: leitfaehigkeit: 0.2352
2026-06-30 12:30:42 [INFO] poller: Polling beendet.
2026-06-30 13:44:12 [ERROR] pymodbus.logging: Connection to (223.223.223.1, 502) failed: timed out
2026-06-30 13:44:12 [ERROR] poller: Verbindungsfehler: Konnte nicht zu 223.223.223.1:502 verbinden
2026-06-30 13:44:14 [INFO] poller: Polling beendet.
